Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id
4090,Saline,46,90662,0.055120789,3.264,0,0,0,43.457717,-82.73005228,1,0.012,151
4095,Saline Twp,41.2,94226,0.050687285,0.104394619,6,0,0,43.856162,-85.82506817,1,0.3,85
4100,Scio Twp,43.4,137269,0.061215088,0.844423077,1,0,0,43.1448085,-84.49496585,1,0.046,57
4105,Sharon Twp,49.3,105729,0.051813472,0.080082988,1,0,0,43.8416845,-85.8489995,1,0.094,85
4110,Superior Twp,38.5,99625,0.117479094,0.656651982,0,0,0,43.8629195,-86.24768682,1,0.006,105
4115,Sylvan Twp,45.9,94079,0.022809124,0.15369863,0,1,0,43.125021,-84.51345779,1,,57
4120,Webster Twp,47.6,156200,0.0390482,0.287850877,0,1,0,43.130732,-84.56070276,1,0.088,57
4125,York Twp,45.9,142250,0.041806694,0.409103139,0,1,0,43.1214995,-84.56324176,1,0.1,57
4130,Ypsilanti,27,44141,0.255040903,7.095017794,0,1,0,43.1234205,-84.58504747,1,0.076,57
4135,Ypsilanti Twp,34.1,68773,0.149879247,2.707598039,0,1,0,43.138194,-84.55039047,1,0.052,57
5005,Ash Twp,52,74292,0.100420008,0.242534562,15,9,0,41.9109695,-83.35823428,1,,163
5010,Bedford Twp,45.4,86369,0.077093417,1.263928571,20,12,0,41.962944,-83.37182844,1,1.55,163
5015,Berlin Twp(Monroe),39,100782,0.075579845,0.413804348,7,0,0,41.812267,-83.44175582,1,1.246,163
5020,Carleton,38.8,63826,0.109845403,4.149606299,20,13,0,41.9431205,-83.34650981,1,1.332,163
5025,Dundee,36.2,71058,0.053065615,1.661904762,20,6,0,41.9416335,-83.32999596,1,1.166,163
5030,Dundee Twp,43,112377,0.01121563,0.099927798,20,19,19,42.417267,-83.06949844,1,2.988,163
5035,Erie Twp,39.7,66833,0.160646388,0.2686875,0,0,0,43.187248,-82.58822945,1,,151
5040,Estral Beach,45,63462,0.118811881,1.41958042,20,3,2,42.277877,-83.55984239,1,1.118,161
5045,Exeter Twp,49,101628,0.080724371,0.146098655,14,15,8,42.3966775,-83.00375687,1,3.068,163
5050,Frenchtown Twp,40.2,65085,0.168929467,0.783550725,16,18,8,42.3941635,-83.00393448,1,3.112,163
5055,Ida Twp,42.3,97403,0.02865571,0.20309322,19,19,18,42.416058,-83.07251299,1,2.702,163
5060,LaSalle Twp,44.2,82425,0.08302623,0.269011628,17,16,4,42.3951235,-82.99165287,1,2.322,163
5065,London Twp,40.6,75179,0.034957983,0.129956522,12,17,12,42.392775,-83.01054719,1,2.954,163
5070,Luna Pier,48.8,51830,0.271356784,1.270042194,16,19,8,42.392903,-83.00180576,1,2.882,163
5075,Maybee,35.8,53333,0.132192846,0.549579832,16,15,7,42.399525,-83.00029961,1,2.344,163
5085,Milan Twp,43.8,87386,0.062732919,0.074036697,0,0,0,43.6779355,-83.34483752,1,,63
5090,Monroe,36.9,59532,0.18296893,3.108562691,1,0,0,43.5005485,-83.75334365,1,0.052,17
5095,Monroe Twp,46.7,67821,0.141351563,1.249826087,0,0,0,43.7261865,-83.26967736,1,0.324,63
5100,Petersburg,39.2,76071,0.039777247,3.473829201,1,0,0,43.48861,-83.7259534,1,,17
5105,Raisinville Twp,49.5,87167,0.046257359,0.191157556,0,0,0,43.511823,-83.70737661,1,0.012,17
5110,South Rockwood,39.1,78063,0.141419492,0.887793427,1,0,0,43.500437,-83.74239739,1,0.064,17
5115,Summerfield Twp,43.7,85909,0.182053774,0.11762963,1,0,0,43.51129,-83.72380072,1,0.052,17
5120,Whiteford Twp,47.7,94875,0.048242742,0.178715953,,,,,,0,,
