Tract Code (id),Center of Tract,City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Moques,# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques
7055,,Hartland Twp,43.3,103208,0.033051399,0.644476987,,,,
7060,,Howell,38.6,57122,0.070930837,3.071341463,,,,
7065,,Howell Twp,39.3,84045,0.052239732,0.39795122,,,,
7070,,Iosco Twp,42.8,115729,0.045630317,0.171365639,,,,
7075,,Marion Twp,43.4,126328,0.037140124,0.500478261,,,,
7080,,Oceola Twp,40.5,117282,0.016642794,0.624808511,,,,
7085,,Pinckney,42.2,92159,0.042857143,1.794392523,,,,
7090,,Putnam Twp,45.0,95238,0.14499328,0.274285714,,,,
7095,,Tyrone Twp,41.5,101667,0.056112224,0.509617021,,,,
7100,,Unadilla Twp,54.5,71953,0.087047562,0.150630631,,,,
8005,,Village of Grosse Pointe Shores,49.4,182000,0.028239845,3.575966851,,,,
8010,,Memphis,41.6,60884,0.23275069,1.502035278,,,,
8015,,Milan,37.2,93016,0.093574959,2.709821429,,,,
8020,,Northville,46.1,143875,0.033564815,4.606060606,,,,
